zip,year,ev_sales,total_sales
90438,2016,13,1015
90192,2016,44,1015
90225,2016,2,1015
90045,2016,10,1015
90579,2016,39,1015
90471,2016,36,1015
90222,2016,3,1015
90681,2016,4,1015
90699,2016,16,1015
90597,2016,10,1015
90030,2016,19,1015
90243,2016,5,1015
90078,2016,22,1015
90474,2016,9,1015
90318,2016,21,1015
90519,2016,10,1015
90282,2016,8,1015
90327,2016,3,1015
90156,2016,58,1015
90480,2016,11,1015
90576,2016,80,1015
90141,2016,33,1015
90429,2016,22,1015
90522,2016,42,1015
90615,2016,51,1015
90525,2016,56,1015
90075,2016,7,1015
90015,2016,7,1015
90633,2016,10,1015
90642,2016,14,1015
90468,2016,38,1015
90330,2016,13,1015
90501,2016,1,1015
90420,2016,19,1015
90201,2016,7,1015
90528,2016,64,1015
90084,2016,8,1015
90051,2016,19,1015
90702,2016,4,1015
90456,2016,25,1015
90060,2016,3,1015
90462,2016,13,1015
90339,2016,1,1015
90393,2016,1,1015
90207,2016,18,1015
90087,2016,2,1015
90531,2016,1,1015
90360,2016,45,1015
90363,2016,25,1015
90387,2016,3,1015
90036,2016,14,1015
90645,2016,2,1015
90591,2016,46,1015
90165,2016,83,1015
90435,2016,49,1015
90366,2016,1,1015
90534,2016,96,1015
90654,2016,9,1015
90297,2016,8,1015
90660,2016,2,1015
90336,2016,5,1015
90609,2016,30,1015
90177,2016,58,1015
90303,2016,18,1015
90048,2016,28,1015
90459,2016,21,1015
90120,2016,1,1015
90651,2016,6,1015
90600,2016,35,1015
90144,2016,11,1015
90063,2016,32,1015
90108,2016,14,1015
90537,2016,6,1015
90198,2016,20,1015
90540,2016,69,1015
90111,2016,73,1015
90171,2016,67,1015
90312,2016,10,1015
90411,2016,19,1015
90135,2016,6,1015
90180,2016,24,1015
90072,2016,19,1015
90483,2016,1,1015
90369,2016,4,1015
90372,2016,6,1015
90582,2016,11,1015
90627,2016,42,1015
90495,2016,4,1015
90117,2016,18,1015
90033,2016,23,1015
90639,2016,21,1015
90417,2016,10,1015
90375,2016,15,1015
90543,2016,31,1015
90288,2016,3,1015
90546,2016,20,1015
90549,2016,99,1015
90066,2016,13,1015
90672,2016,22,1015
90105,2016,3,1015
90324,2016,31,1015
90405,2016,5,1015
90606,2016,46,1015
90054,2016,3,1015
90213,2016,7,1015
90252,2016,4,1015
90636,2016,15,1015
90219,2016,6,1015
90210,2016,13,1015
90612,2016,41,1015
90492,2016,3,1015
90585,2016,67,1015
90102,2016,8,1015
90114,2016,12,1015
90126,2016,5,1015
90204,2016,14,1015
90552,2016,23,1015
90132,2016,30,1015
90159,2016,7,1015
90414,2016,4,1015
90465,2016,52,1015
90666,2016,3,1015
90390,2016,21,1015
90321,2016,16,1015
90306,2016,8,1015
90162,2016,14,1015
90168,2016,26,1015
90183,2016,36,1015
90555,2016,22,1015
90648,2016,3,1015
90216,2016,3,1015
90630,2016,52,1015
90657,2016,7,1015
90408,2016,48,1015
90558,2016,69,1015
90129,2016,46,1015
90396,2016,29,1015
90186,2016,150,1015
90138,2016,2,1015
90444,2016,71,1015
90486,2016,24,1015
90561,2016,12,1015
90099,2016,6,1015
90123,2016,31,1015
90147,2016,59,1015
90174,2016,3,1015
90564,2016,79,1015
90624,2016,26,1015
90039,2016,73,1015
90453,2016,83,1015
90294,2016,8,1015
90285,2016,9,1015
90567,2016,21,1015
90195,2016,18,1015
90315,2016,22,1015
90441,2016,39,1015
90090,2016,85,1015
90402,2016,4,1015
90603,2016,32,1015
90345,2016,12,1015
90477,2016,26,1015
90378,2016,21,1015
90300,2016,19,1015
90153,2016,232,1015
90663,2016,5,1015
90399,2016,51,1015
90150,2016,13,1015
90381,2016,55,1015
90042,2016,10,1015
90333,2016,2,1015
90570,2016,139,1015
90309,2016,108,1015
90291,2016,9,1015
