zip,year,ev_stock,total_stock
90438,2016,55,16920
90192,2016,138,16920
90225,2016,35,16920
90045,2016,43,16920
90579,2016,146,16920
90471,2016,125,16920
90222,2016,28,16920
90681,2016,12,16920
90699,2016,75,16920
90597,2016,69,16920
90030,2016,68,16920
90243,2016,29,16920
90078,2016,77,16920
90474,2016,62,16920
90318,2016,95,16920
90519,2016,61,16920
90282,2016,29,16920
90327,2016,19,16920
90156,2016,186,16920
90480,2016,54,16920
90576,2016,259,16920
90141,2016,146,16920
90429,2016,96,16920
90522,2016,141,16920
90615,2016,147,16920
90525,2016,169,16920
90075,2016,40,16920
90015,2016,45,16920
90633,2016,65,16920
90642,2016,72,16920
90468,2016,130,16920
90330,2016,73,16920
90501,2016,19,16920
90420,2016,74,16920
90201,2016,55,16920
90528,2016,176,16920
90084,2016,42,16920
90051,2016,73,16920
90702,2016,26,16920
90456,2016,97,16920
90060,2016,19,16920
90462,2016,66,16920
90339,2016,27,16920
90393,2016,8,16920
90207,2016,61,16920
90087,2016,10,16920
90531,2016,35,16920
90360,2016,149,16920
90363,2016,104,16920
90387,2016,20,16920
90036,2016,64,16920
90645,2016,33,16920
90591,2016,144,16920
90165,2016,212,16920
90435,2016,175,16920
90366,2016,15,16920
90534,2016,217,16920
90654,2016,30,16920
90297,2016,49,16920
90660,2016,6,16920
90336,2016,51,16920
90609,2016,142,16920
90177,2016,204,16920
90303,2016,98,16920
90048,2016,123,16920
90459,2016,46,16920
90120,2016,9,16920
90651,2016,29,16920
90600,2016,132,16920
90144,2016,54,16920
90063,2016,115,16920
90108,2016,72,16920
90537,2016,26,16920
90198,2016,91,16920
90540,2016,187,16920
90111,2016,227,16920
90171,2016,207,16920
90312,2016,42,16920
90411,2016,90,16920
90135,2016,44,16920
90180,2016,68,16920
90072,2016,57,16920
90483,2016,31,16920
90369,2016,23,16920
90372,2016,37,16920
90582,2016,69,16920
90627,2016,117,16920
90495,2016,33,16920
90117,2016,82,16920
90033,2016,75,16920
90639,2016,79,16920
90417,2016,62,16920
90375,2016,53,16920
90543,2016,133,16920
90288,2016,15,16920
90546,2016,82,16920
90549,2016,240,16920
90066,2016,48,16920
90672,2016,70,16920
90105,2016,29,16920
90324,2016,121,16920
90405,2016,46,16920
90606,2016,167,16920
90054,2016,37,16920
90213,2016,44,16920
90252,2016,54,16920
90636,2016,66,16920
90219,2016,24,16920
90210,2016,100,16920
90612,2016,119,16920
90492,2016,34,16920
90585,2016,241,16920
90102,2016,45,16920
90114,2016,80,16920
90126,2016,17,16920
90204,2016,55,16920
90552,2016,78,16920
90132,2016,99,16920
90159,2016,34,16920
90414,2016,28,16920
90465,2016,157,16920
90666,2016,22,16920
90390,2016,87,16920
90321,2016,58,16920
90306,2016,56,16920
90162,2016,86,16920
90168,2016,109,16920
90183,2016,86,16920
90555,2016,113,16920
90648,2016,27,16920
90216,2016,11,16920
90630,2016,175,16920
90657,2016,88,16920
90408,2016,148,16920
90558,2016,219,16920
90129,2016,136,16920
90396,2016,87,16920
90186,2016,408,16920
90138,2016,9,16920
90444,2016,205,16920
90486,2016,92,16920
90561,2016,64,16920
90099,2016,31,16920
90123,2016,77,16920
90147,2016,175,16920
90174,2016,23,16920
90564,2016,241,16920
90624,2016,62,16920
90039,2016,205,16920
90453,2016,231,16920
90294,2016,38,16920
90285,2016,58,16920
90567,2016,82,16920
90195,2016,70,16920
90315,2016,98,16920
90441,2016,161,16920
90090,2016,227,16920
90402,2016,39,16920
90603,2016,110,16920
90345,2016,34,16920
90477,2016,97,16920
90378,2016,85,16920
90300,2016,97,16920
90153,2016,548,16920
90663,2016,17,16920
90399,2016,171,16920
90150,2016,43,16920
90381,2016,139,16920
90042,2016,41,16920
90333,2016,19,16920
90570,2016,332,16920
90309,2016,267,16920
90291,2016,62,16920
90705,2016,15,16920
90708,2016,30,16920
90069,2016,85,16920
90594,2016,102,16920
90426,2016,65,16920
90669,2016,16,16920
90573,2016,58,16920
90189,2016,64,16920
90618,2016,44,16920
90384,2016,21,16920
90081,2016,81,16920
90450,2016,176,16920
90447,2016,228,16920
90057,2016,131,16920
90246,2016,22,16920
90009,2016,21,16920
90588,2016,35,16920
90696,2016,12,16920
90255,2016,6,16920
90432,2016,248,16920
90720,2016,58,16920
90249,2016,7,16920
90678,2016,78,16920
90003,2016,4,16920
90006,2016,44,16920
90711,2016,30,16920
90273,2016,20,16920
90279,2016,38,16920
90240,2016,15,16920
90270,2016,9,16920
90714,2016,4,16920
90267,2016,15,16920
90258,2016,123,16920
90348,2016,2,16920
90687,2016,30,16920
90021,2016,38,16920
90507,2016,13,16920
90516,2016,6,16920
90012,2016,39,16920
90513,2016,13,16920
90018,2016,55,16920
90510,2016,30,16920
90276,2016,10,16920
90234,2016,28,16920
90738,2016,11,16920
90093,2016,28,16920
90231,2016,15,16920
90342,2016,49,16920
90498,2016,35,16920
90723,2016,8,16920
90024,2016,12,16920
90264,2016,13,16920
90423,2016,199,16920
90693,2016,10,16920
90096,2016,108,16920
90354,2016,7,16920
90351,2016,21,16920
90729,2016,20,16920
90261,2016,39,16920
90489,2016,165,16920
90000,2016,26,16920
90621,2016,79,16920
90228,2016,30,16920
90726,2016,9,16920
90237,2016,8,16920
90690,2016,7,16920
90717,2016,8,16920
90357,2016,16,16920
90735,2016,20,16920
90504,2016,9,16920
