Date,emissions_intensity_gco2_per_kwh
01/01/2001,343.27
01/02/2001,343.56
01/03/2001,325.11
01/04/2001,320.78
01/05/2001,318.55
01/06/2001,288.45
01/07/2001,301.22
01/08/2001,308.37
01/09/2001,304.42
01/10/2001,304.42
01/11/2001,288.81
01/12/2001,285.3
01/01/2002,263.15
01/02/2002,266.65
01/03/2002,264.42
01/04/2002,234.76
01/05/2002,237.88
01/06/2002,275.19
01/07/2002,292.84
01/08/2002,288.59
01/09/2002,293.74
01/10/2002,280.99
01/11/2002,292.66
01/12/2002,284.18
01/01/2003,277.34
01/02/2003,286.5
01/03/2003,275.97
01/04/2003,239.11
01/05/2003,207.08
01/06/2003,228.22
01/07/2003,286.68
01/08/2003,288.47
01/09/2003,292.5
01/10/2003,294.8
01/11/2003,279.97
01/12/2003,269.4
01/01/2004,271.65
01/02/2004,287.67
01/03/2004,281.65
01/04/2004,274.46
01/05/2004,262.21
01/06/2004,253.34
01/07/2004,287.38
01/08/2004,294.01
01/09/2004,305.01
01/10/2004,311.42
01/11/2004,334.47
01/12/2004,315.84
01/01/2005,277.02
01/02/2005,271.01
01/03/2005,253.31
01/04/2005,231.9
01/05/2005,217.71
01/06/2005,225.48
01/07/2005,283.17
01/08/2005,297.61
01/09/2005,280.21
01/10/2005,274.67
01/11/2005,296.37
01/12/2005,278.9
01/01/2006,245.55
01/02/2006,256.96
01/03/2006,244.76
01/04/2006,230.79
01/05/2006,234.36
01/06/2006,247.19
01/07/2006,301.16
01/08/2006,289.87
01/09/2006,300.93
01/10/2006,304.3
01/11/2006,307.78
01/12/2006,307.3
01/01/2007,288.72
01/02/2007,289.62
01/03/2007,262.48
01/04/2007,266.14
01/05/2007,275.3
01/06/2007,288.99
01/07/2007,304.34
01/08/2007,325.78
01/09/2007,313.51
01/10/2007,326.61
01/11/2007,322.61
01/12/2007,345.79
01/01/2008,333.93
01/02/2008,329.3
01/03/2008,311.98
01/04/2008,304.16
01/05/2008,260.81
01/06/2008,274.98
01/07/2008,290.04
01/08/2008,312.59
01/09/2008,336.79
01/10/2008,344.94
01/11/2008,345.16
01/12/2008,348.17
01/01/2009,344.08
01/02/2009,338.29
01/03/2009,289.4
01/04/2009,252.39
01/05/2009,238.84
01/06/2009,231.89
01/07/2009,293.68
01/08/2009,312.2
01/09/2009,334.45
01/10/2009,339.89
01/11/2009,339.69
01/12/2009,343.34
01/01/2010,341.06
01/02/2010,333.96
01/03/2010,323.25
01/04/2010,287.31
01/05/2010,218.9
01/06/2010,204.85
01/07/2010,257.68
01/08/2010,286.37
01/09/2010,293.73
01/10/2010,345.54
01/11/2010,324.9
01/12/2010,290.79
01/01/2011,274.48
01/02/2011,282.78
01/03/2011,221.55
01/04/2011,192.86
01/05/2011,183
01/06/2011,188.87
01/07/2011,234.11
01/08/2011,267.27
01/09/2011,290.34
01/10/2011,277.72
01/11/2011,281.79
01/12/2011,314.03
01/01/2012,323.02
01/02/2012,348.91
01/03/2012,325.57
01/04/2012,310.26
01/05/2012,281.47
01/06/2012,291.86
01/07/2012,301.43
01/08/2012,333.87
01/09/2012,337.99
01/10/2012,342.53
01/11/2012,343.02
01/12/2012,323.77
01/01/2013,333.38
01/02/2013,344.95
01/03/2013,318.05
01/04/2013,272.59
01/05/2013,265.15
01/06/2013,286.81
01/07/2013,309.03
