

=== TOP 60 BY CUMULATIVE ===
         8044788 function calls (8044532 primitive calls) in 9.616 seconds

   Ordered by: cumulative time
   List reduced from 480 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    9.615    9.615 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/resources/run.py:23(generate_data)
      200    0.001    0.000    8.257    0.041 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/controller.py:1004(next_step)
      200    0.001    0.000    4.748    0.024 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/controller.py:926(update_social_network)
      200    0.014    0.000    4.747    0.024 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/socialNetworkUsers.py:1387(next_step)
      200    0.488    0.002    3.705    0.019 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/socialNetworkUsers.py:270(update_VehicleUsers)
      200    0.000    0.000    3.007    0.015 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/controller.py:916(update_firms)
      200    0.002    0.000    3.007    0.015 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/firmManager.py:697(next_step)
    49519    1.195    0.000    2.074    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/socialNetworkUsers.py:553(user_chooses)
      200    0.004    0.000    1.712    0.009 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/firmManager.py:658(update_firms)
     3200    0.014    0.000    1.706    0.001 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/firm.py:925(next_step)
        1    0.000    0.000    1.358    1.358 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/controller.py:24(__init__)
        1    0.000    0.000    1.310    1.310 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/controller.py:835(gen_social_network)
        1    0.007    0.007    1.310    1.310 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/socialNetworkUsers.py:12(__init__)
      278    0.004    0.000    0.843    0.003 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/firm.py:334(innovate)
      269    0.004    0.000    0.838    0.003 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/firm.py:844(choose_cars_segments)
        1    0.000    0.000    0.797    0.797 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/socialNetworkUsers.py:223(create_network)
      4/2    0.001    0.000    0.757    0.378 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/.venv/lib/python3.13/site-packages/networkx/utils/backends.py:541(_call_if_no_backends_installed)
      200    0.391    0.002    0.706    0.004 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/firmManager.py:262(update_W_immediate)
      201    0.069    0.000    0.639    0.003 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/socialNetworkUsers.py:245(calculate_ev_adoption)
      200    0.415    0.002    0.558    0.003 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/firmManager.py:291(update_market_data_moving_average)
      201    0.546    0.003    0.546    0.003 {method 'dot' of 'numpy.ndarray' objects}
      269    0.122    0.000    0.541    0.002 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/firm.py:750(select_car_lambda_production)
      200    0.000    0.000    0.499    0.002 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/controller.py:940(get_second_hand_cars)
      200    0.001    0.000    0.499    0.002 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/secondHandMerchant.py:304(next_step)
      186    0.234    0.001    0.477    0.003 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/secondHandMerchant.py:178(update_stock_contents)
        1    0.405    0.405    0.464    0.464 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/socialNetworkUsers.py:129(set_init_cars_selection)
        1    0.000    0.000    0.459    0.459 <class 'networkx.utils.decorators.argmap'> compilation 5:1(argmap_watts_strogatz_graph_1)
        1    0.054    0.054    0.459    0.459 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/.venv/lib/python3.13/site-packages/networkx/generators/random_graphs.py:388(watts_strogatz_graph)
      200    0.342    0.002    0.418    0.002 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/socialNetworkUsers.py:517(masking_options)
     6416    0.216    0.000    0.384    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/firm.py:686(set_utility_and_profit_grid_production)
      547    0.226    0.000    0.350    0.001 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/firm.py:266(calc_utility_cars_segments)
   165509    0.307    0.000    0.307    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   634496    0.307    0.000    0.307    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/firmManager.py:176(calc_exp)
        1    0.000    0.000    0.297    0.297 <class 'networkx.utils.decorators.argmap'> compilation 21:1(argmap_to_numpy_array_18)
